# unit;contract address;decimals
HBT;0xdd6c68bb32462e01705011a4e2ad1a60740f217f;15
HEDG;0xf1290473e210b2108a85237fbcd7b6eb42cc654f;18
HLT;0xa809d363a66c576a2a814cdbfefc107c600a55f0;18
HMC;0xaa0bb10cec1fa372eb3abc17c933fc6ba863dd9e;18
HMQ;0xcbcc0f036ed4788f63fc0fee32873d6a7487b908;8
HOT;0x6c6ee5e31d828de241282b9606c8e98ea48526e2;18
HOT;0x9af839687f6c94542ac5ece2e317daae355493a1;18
HPT;0xa66daa57432024023db65477ba87d4e7f5f95213;18
HT;0x6f259637dcd74c767781e37bc6133cd6a68aa161;18
HUM;0x174afe7a032b5a33a3270a9f6c30746e25708532;18
HXRO;0x4bd70556ae3f8a6ec6c4080a0c327b24325438f3;18
HYDRO;0xebbdf302c940c6bfd49c6b165f457fdb324649bc;18
HYN;0xe99a894a69d7c2e3c92e61b64c505a6a57d2bc07;18
IDEX;0xb705268213d593b8fd88d3fdeff93aff5cbdcfae;18
IDH;0x5136c98a80811c3f46bdda8b5c4555cfd9f812f0;6
IHF;0xaf1250fa68d7decd34fd75de8742bc03b29bd58e;18
IHT;0xeda8b016efa8b1161208cf041cd86972eee0f31e;18
ILK;0xf784682c82526e245f50975190ef0fff4e4fc077;8
INB;0x17aa18a4b64a55abed7fa543f2ba4e91f2dce482;18
INE;0x86e6a4f512b1290c043970b04e0b570d4fc98291;18
INO;0xc9859fccc876e6b4b3c749c5d29ea04f48acb74f;0
INS;0x5b2e4a700dfbc560061e957edec8f6eeeb74a320;10
INSTAR;0xc72fe8e3dd5bef0f9f31f259399f301272ef2a2d;18
IOTX;0x6fb3e0a217407efff7ca062d46c26e5d60a14d69;18
IQN;0x0db8d8b76bc361bacbb72e2c491e06085a97ab31;18
ITC;0x5e6b6d9abad9093fdc861ea1600eba1b355cd940;18
IVY;0xa4ea687a2a7f29cf2dc66b39c68e4411c0d00c49;18
JNT;0xa5fd1a791c4dfcaacc963d4f73c6ae5824149ea7;18
JWL;0x8275ebf521dc217aa79c88132017a5bcef001dd9;18
KAN;0x1410434b0346f5be678d0fb554e5c7ab620f8f4a;18
KBC;0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a;7
KCASH;0x32d74896f05204d1b6ae7b0a3cebd7fc0cd8f9c7;18
KCS;0x039b5649a59967e3e936d7471f9c3700100ee1ab;6
KEY;0x4cc19356f2d37338b9802aa8e8fc58b0373296e7;18
KICK;0xc12d1c73ee7dc3615ba4e37e4abfdbddfa38907e;8
KNC;0xdd974d5c2e2928dea5f71b9825b8b646686bd200;18
KRI;0xde1289e68ad9e65ccf50d800c0cec2d514b80a40;18
KRL;0x464ebe77c293e473b48cfe96ddcf88fcf7bfdac0;18
KT;0x26ddf6cabadcbf4f013841bd8d914830beb0d984;8
LA;0xe50365f5d679cb98a1dd62d6f6e58e59321bcddf;18
LAMB;0x8971f9fd7196e5cee2c1032b50f656855af7dd26;18
LBA;0xfe5f141bf94fe84bc28ded0ab966c16b17490657;18
LEND;0x80fb784b7ed66730e8b1dbd9820afd29931aab03;18
LEO;0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3;18
LET;0xfa3118b34522580c35ae27f6cf52da1dbb756288;6
LEV;0x0f4ca92660efad97a9a70cb0fe969c755439772c;9
LEVL;0x09970aec766b6f3223aca9111555e99dc50ff13a;18
LIF;0xeb9951021698b42e4399f9cbb6267aa35f82d59d;18
LIFE;0xff18dbc487b4c2e3222d115952babfda8ba52f5f;18
LIKE;0x02f61fd266da6e8b102d4121f5ce7b992640cf98;18
LINA;0xc05d14442a510de4d3d71a3d316585aa0ce32b50;18
LINK;0x514910771af9ca656af840dff83e8264ecf986ca;18
LINKA;0x578b49c45961f98d8df92854b53f1641af0a5036;18
LKY;0x49bd2da75b1f7af1e4dfd6b1125fecde59dbec58;18
LND;0x0947b0e6d821378805c9598291385ce7c791a6b2;18
LOC;0x5e3346444010135322268a4630d2ed5f8d09446c;18
LOCUS;0xc64500dd7b0f1794807e67802f8abbf5f8ffb054;18
LOOM;0xa4e8c3ec456107ea67d3075bf9e3df3a75823db0;18
LRC;0xbbbbca6a901c926f240b89eacb641d8aec7aeafd;18
LST;0x6b9f1f092e0b10015a4391a80cd3e6b6cefd1728;18
LTO;0x3db6ba6ab6f95efed1a6e794cad492faaabf294d;8
LUN;0xfa05a73ffe78ef8f1a739473e462c54bae6567d9;18
LXT;0xbc46d9961a3932f7d6b64abfdec80c1816c4b835;18
LYM;0xc690f7c7fcffa6a82b79fab7508c466fefdfc8c5;18
MANA;0x0f5d2fb29fb7d3cfee444a200298f468908cc942;18
MATIC;0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0;18
MB;0x8d8129963291740dddd917ab01af18c7aed4ba58;18
MBL;0xb879da8b24c9b8685de8526cf492e954f165d74b;18
MCO;0xb63b606ac810a52cca15e44bb630fd42d8d1d83d;8
MDA;0x51db5ad35c671a87207d88fc11d593ac0c8415bd;18
MDS;0x66186008c1050627f979d464eabb258860563dbe;18
MDT;0x814e0908b12a99fecf5bc101bb5d0b8b5cdf7d26;18
MEDX;0xfd1e80508f243e64ce234ea88a5fd2827c71d4b7;8
MET;0xa3d58c4e56fedcae3a7c43a725aee9a71f0ece4e;18
MEXC;0x7de2d123042994737105802d2abd0a10a7bde276;18
MFT;0xdf2c7238198ad8b389666574f2d8bc411a4b7428;18
MGX;0x1412f6aa5adc77c620715bb2a020aa690b85f68a;18
MIN;0x5d64d850c8368008afb39224e92ad0dceff3cf38;18
MITH;0x3893b9422cd5d70a81edeffe3d5a1c6a978310bb;18
MITX;0x4a527d8fc13c5203ab24ba0944f4cb14658d1db6;18
MKR;0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2;18
MLN;0xec67005c4e498ec7f55e092bd1d35cbc47c91892;18
MOC;0x865ec58b06bf6305b886793aa20a2da31d034e68;18
MOF;0x653430560be843c4a3d143d0110e896c2ab8ac0d;16
MPAY;0x3810a4ddf41e586fa0dba1463a7951b748cecfca;18
MRPH;0x7b0c06043468469967dba22d1af33d77d44056c8;4
MTC;0x905e337c6c8645263d3521205aa37bf4d034e745;18
MTH;0xaf4dce16da2877f8c9e00544c93b62ac40631f16;5
MTL;0xf433089366899d83a9f26a773d59ec7ecf30355e;8
MVL;0xa849eaae994fb86afa73382e9bd88c2b6b18dc71;18
MWAT;0x6425c6be902d692ae2db752b3c268afadb099d3b;18
MX;0x11eef04c884e24d9b7b4760e7476d06ddf797f36;18
MXC;0x5ca381bbfb58f0092df149bd3d243b08b9a8386e;18
MXM;0x8e766f57f7d16ca50b4a0b90b88f6468a09b0439;18
NASH;0x4b94c8567763654101f690cf4d54957206383b75;18
NBC;0x9f195617fa8fbad9540c5d113a99a0a0172aaedc;18
NCASH;0x809826cceab68c387726af962713b64cb5cb3cca;18
NCT;0x9e46a38f5daabe8683e10793b06749eef7d733d1;18
NEC;0xcc80c051057b774cd75067dc48f8987c4eb97a5e;18
NET;0xf29226914595052a04f5afbe6410d0c3ed707548;18
NEU;0xa823e6722006afe99e91c30ff5295052fe6b8e32;18
NEXO;0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206;18
NGC;0x72dd4b6bd852a3aa172be4d6c5a6dbec588cf131;18
NMR;0x1776e1f26f98b1a5df9cd347953a26dd3cb46671;18
NOAH;0x58a4884182d9e835597f405e5f258290e46ae7c2;18
NPX;0x28b5e12cce51f15594b0b91d5b5adaa70f684a02;2
NPXS;0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3;18
OAX;0x701c244b988a513c945973defa05de933b23fe1d;18
OCEAN;0x985dd3d42de1e256d09e1c10f112bccb8015ad41;18
OCN;0x4092678e4e78230f46a1534c0fbc8fa39780892b;18
ODE;0xbf52f2ab39e26e0951d2a02b49b7702abe30406a;18
OGO;0xff0e5e014cf97e0615cb50f6f39da6388e2fae6e;18
OKB;0x75231f58b43240c9718dd58b4967c5114342a86c;18
OLT;0x64a60493d888728cf42616e034a0dfeae38efcf0;18
OMG;0xd26114cd6ee289accf82350c8d8487fedb8a0c07;18
ONE;0x0396340f16bbec973280ab053efc3f208fa37795;18
OPQ;0x77599d2c6db170224243e255e6669280f11f1473;18
ORBS;0xff56cc6b1e6ded347aa0b7676c85ab0b3d08b0fa;18
ORS;0xeb9a4b185816c354db92db09cc3b50be60b901b6;18
OST;0x2c4e8f2d746113d0696ce89b35f0d8bf88e0aeca;18
OVC;0x49d09cda1deb8a1680f1270c5ed15218fc4b18f0;18
PAX;0x8e870d67f660d95d5be530380d0ec0bd388289e1;18
PAXG;0x45804880de22913dafe09f4980848ece6ecbaf78;18
PAY;0xb97048628db6b661d4c2aa833e95dbe1a905b280;18
PAYX;0x62a56a4a2ef4d355d34d10fbf837e747504d38d4;2
PCL;0x0f02e27745e3b6e9e1310d19469e2b5d7b5ec99a;8
PERL;0xb5a73f5fc8bbdbce59bfd01ca8d35062e0dad801;9
PI;0xb9bb08ab7e9fa0a1356bd4a39ec0ca267e03b0b3;18
PLA;0x0198f46f520f33cd4329bd4be380a25a90536cd5;18
PLA;0x307d45afbb7e84f82ef3d251a6bb0f00edf632e4;18
PLBT;0x0affa06e7fbe5bc9a764c979aa66e8256a631f02;6
PLR;0xe3818504c1b32bf1557b16c238b2e01fd3149c17;18
PLU;0xd8912c10681d8b21fd3742244f44658dba12264e;18
PLY;0x59be937f05cf2c406b61c42c6c82a093fa54edfe;9
PMA;0x846c66cf71c43f80403b51fe3906b3599d63336f;18
PNK;0x93ed3fbe21207ec2e8f2d3c3de6e058cb73bc04d;18
PNT;0x53066cddbc0099eb6c96785d9b3df2aaeede5da3;18
POE;0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195;8
POLY;0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec;18
POWR;0x595832f8fc6bf59c85c527fec3740a1b7a361269;6
PPP;0xc42209accc14029c1012fb5680d95fbd6036e2a0;18
PPT;0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a;8
PRA;0x9041fe5b3fdea0f5e4afdc17e75180738d877a01;18
PRE;0x88a3e4f35d64aad41a6d4030ac9afe4356cb84fa;18
PRO;0x226bb599a12c826476e3a771454697ea52e9e220;8
PROM;0xfc82bb4ba86045af6f327323a46e80412b91b27d;18
PRS;0xe0d95530820aafc51b1d98023aa1ff000b78d8b2;18
PVT;0x7869c4a1a3f6f8684fbcc422a21ad7abe3167834;18
QASH;0x618e75ac90b12c6049ba3b27f5d5f8651b0037f6;6
QBIT;0x1602af2c782cc03f9241992e243290fccf73bb13;18
QCX;0xf9e5af7b42d31d51677c75bbbd37c1986ec79aee;8
QKC;0xea26c4ac16d4a5a106820bc8aee85fd0b7b2b664;18
QNT;0x4a220e6096b25eadb88358cb44068a3248254675;18
QNTU;0x4234f63b1d202f6c016ca3b6a0d41d7d85f17716;18
QQQ;0x2822f6d1b2f41f93f33d937bc7d84a8dfa4f4c21;18
QSP;0x99ea4db9ee77acd40b119bd1dc4e33e1c070b80d;18
